,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,State,Literacy Rate,normalized_literacy
2374,Guthrie,Guthrie,Guthrie County,19077,IA,Iowa,41.6837,-94.5011,10599,Iowa,85.1,0.19318181818181857
2375,Bradley,Bradley,Bradley County,5011,AR,Arkansas,33.4664,-92.1624,10597,Arkansas,76.9,0.659090909090909
2376,Gates,Gates,Gates County,37073,NC,North Carolina,36.4449,-76.7005,10584,North Carolina,78.7,0.5568181818181819
2377,Cumberland,Cumberland,Cumberland County,17035,IL,Illinois,39.2733,-88.2402,10528,Illinois,79.6,0.5056818181818187
2378,Mitchell,Mitchell,Mitchell County,19131,IA,Iowa,43.3564,-92.789,10526,Iowa,85.1,0.19318181818181857
2379,Crawford,Crawford,Crawford County,18025,IN,Indiana,38.2924,-86.4517,10511,Indiana,81.3,0.4090909090909094
2380,Carbon,Carbon,Carbon County,30009,MT,Montana,45.2274,-109.0281,10488,Montana,86.9,0.0909090909090906
2381,Johnston,Johnston,Johnston County,40069,OK,Oklahoma,34.3165,-96.6606,10446,Oklahoma,79.9,0.4886363636363634
2382,Coosa,Coosa,Coosa County,1037,AL,Alabama,32.9362,-86.2477,10442,Alabama,76.1,0.704545454545455
2383,Washington,Washington,Washington County,16087,ID,Idaho,44.4524,-116.7847,10425,Idaho,83.6,0.2784090909090913
2384,Franklin,Franklin,Franklin County,48159,TX,Texas,33.1755,-95.2184,10413,Texas,71.8,0.9488636363636368
2385,Noxubee,Noxubee,Noxubee County,28103,MS,Mississippi,33.1102,-88.5698,10410,Mississippi,72.0,0.9375000000000003
2386,Chicot,Chicot,Chicot County,5017,AR,Arkansas,33.267,-91.2937,10405,Arkansas,76.9,0.659090909090909
2387,Bullock,Bullock,Bullock County,1011,AL,Alabama,32.1005,-85.7157,10386,Alabama,76.1,0.704545454545455
2388,Camden,Camden,Camden County,37029,NC,North Carolina,36.3877,-76.2064,10353,North Carolina,78.7,0.5568181818181819
2389,Lowndes,Lowndes,Lowndes County,1085,AL,Alabama,32.1547,-86.6501,10334,Alabama,76.1,0.704545454545455
2390,Montgomery,Montgomery,Montgomery County,19137,IA,Iowa,41.0302,-95.1563,10327,Iowa,85.1,0.19318181818181857
2391,Ralls,Ralls,Ralls County,29173,MO,Missouri,39.5277,-91.522,10318,Missouri,81.1,0.42045454545454586
2392,Madison,Madison,Madison Parish,22065,LA,Louisiana,32.3644,-91.2427,10297,Louisiana,72.9,0.8863636363636364
2393,Metcalfe,Metcalfe,Metcalfe County,21169,KY,Kentucky,36.9905,-85.6292,10275,Kentucky,78.1,0.5909090909090915
2394,Roberts,Roberts,Roberts County,46109,SD,South Dakota,45.6296,-96.9461,10254,South Dakota,85.1,0.19318181818181857
2395,Clay,Clay,Clay County,48077,TX,Texas,33.7855,-98.2085,10236,Texas,71.8,0.9488636363636368
2396,Pike,Pike,Pike County,5109,AR,Arkansas,34.1637,-93.6565,10234,Arkansas,76.9,0.659090909090909
2397,Nemaha,Nemaha,Nemaha County,20131,KS,Kansas,39.7834,-96.0141,10197,Kansas,83.1,0.3068181818181822
2398,Holt,Holt,Holt County,31089,NE,Nebraska,42.4557,-98.7838,10175,Nebraska,83.6,0.2784090909090913
2399,Butte,Butte,Butte County,46019,SD,South Dakota,44.9058,-103.5079,10167,South Dakota,85.1,0.19318181818181857
